event_id,timestamp,match_minute_label,match_minute,period,type_id,event_type,description,team_id,team,team_abbr,side,x,y,goal_x,goal_y,home_goals,away_goals,attacking_team_id,attacking_team,attacking_abbr,proxy_value,signed_proxy_value,location_danger,score_reason,elapsed_minute
1205161984,2026-07-06T18:58:04.664Z,0',0.0,2,79,Coin Toss,Spain won the coin toss and chose to kick off,43969,Spain,ESP,away,,,,,0,0,43969,Spain,ESP,0.0,-0.0,0.0,annotation/no threat,0.0
1325757440,2026-07-06T19:00:02.929Z,0',0.0,3,7,Start Time,The referee signals the start of the first period.,,,,,,,,,0,0,,,,0.0,0.0,0.0,annotation/no threat,0.0
1434305540,2026-07-06T19:01:36.6Z,2',2.0,3,18,Foul,Lamine YAMAL (Spain) commits a foul.,43969,Spain,ESP,away,48.150091,13.3597,,,0,0,43963,Portugal,POR,0.008813959959999998,0.008813959959999998,0.03699817999999988,"foul credited to opponent, boosted near goal",2.0
1494946821,2026-07-06T19:02:45.329Z,3',3.0,3,12,Attempt at Goal,Mikel OYARZABAL (Spain) attempts an effort on goal.,43969,Spain,ESP,away,76.56024000000001,60.25061,52.924899999999994,2.102198,0,0,43969,Spain,ESP,0.05890421600000001,-0.05890421600000001,0.5312048000000001,shot weighted by location,3.0
254022764,2026-07-06T19:02:46.09Z,3',3.0,3,57,Goal Prevention,The goalkeeper of Portugal pulls off a save.,43963,Portugal,POR,home,97.28790000000001,50.78655680000001,,,0,0,43969,Spain,ESP,0.04,-0.04,0.9457580000000001,save/goal prevention credited to opponent attack,3.0
1724649474,2026-07-06T19:06:31.615Z,7',7.0,3,12,Attempt at Goal,JOAO CANCELO (Portugal) attempts an effort on goal.,43963,Portugal,POR,home,14.87558,77.8236,59.225646,56.16375,0,0,43963,Portugal,POR,0.066611978,0.066611978,0.7024884,shot weighted by location,7.0
1817323521,2026-07-06T19:07:43.066Z,8',8.0,3,12,Attempt at Goal,Mikel OYARZABAL (Spain) attempts an effort on goal.,43969,Spain,ESP,away,87.42124,60.01277,73.20521,2.2484480000000002,0,0,43969,Spain,ESP,0.06867911600000001,-0.06867911600000001,0.7484248,shot weighted by location,8.0
1910263816,2026-07-06T19:09:29.112Z,10',10.0,3,16,Corner,BRUNO FERNANDES (Portugal) takes a corner kick.,43963,Portugal,POR,home,0.5250699999999999,1.78875,,,0,0,43963,Portugal,POR,0.025,0.025,0.9894986,corner pressure,10.0
1910787075,2026-07-06T19:09:31.929Z,10',10.0,3,12,Attempt at Goal,PEDRO NETO (Portugal) attempts an effort on goal.,43963,Portugal,POR,home,,,,,0,0,43963,Portugal,POR,0.035,0.035,0.0,shot weighted by location,10.0
1986359306,2026-07-06T19:10:40.544Z,11',11.0,3,18,Foul,JOAO FELIX (Portugal) commits a foul.,43963,Portugal,POR,home,19.16625,13.478019999999999,,,0,0,43969,Spain,ESP,0.02156685,-0.02156685,0.616675,"foul credited to opponent, boosted near goal",11.0
