event_id,timestamp,match_minute_label,match_minute,period,type_id,event_type,description,team_id,team,team_abbr,side,x,y,goal_x,goal_y,home_goals,away_goals,attacking_team_id,attacking_team,attacking_abbr,proxy_value,signed_proxy_value,location_danger,score_reason,elapsed_minute
337787966,2026-07-06T23:58:02.606Z,0',0.0,2,80,Coin Toss,USA won the coin toss and chose the side,43921,USA,USA,home,,,,,0,0,43921,USA,USA,0.0,0.0,0.0,annotation/no threat,0.0
28729405,2026-07-07T00:00:27.603Z,0',0.0,3,7,Start Time,The referee signals the start of the first period.,,,,,,,,,0,0,,,,0.0,0.0,0.0,annotation/no threat,0.0
42843193,2026-07-07T00:00:39.312Z,1',1.0,3,12,Attempt at Goal,Leandro TROSSARD (Belgium) attempts an effort on goal.,43935,Belgium,BEL,away,18.78485,40.221473,,,0,0,43935,Belgium,BEL,0.06309363500000001,-0.06309363500000001,0.624303,shot weighted by location,1.0
74022975,2026-07-07T00:01:10.223Z,1',1.0,3,12,Attempt at Goal,Youri TIELEMANS (Belgium) attempts an effort on goal.,43935,Belgium,BEL,away,17.94181,49.6376372,,,0,0,43935,Belgium,BEL,0.063852371,-0.063852371,0.6411638,shot weighted by location,1.0
76552244,2026-07-07T00:01:11.804Z,1',1.0,3,12,Attempt at Goal,Timothy CASTAGNE (Belgium) attempts an effort on goal.,43935,Belgium,BEL,away,23.75042,54.292072000000005,33.65824,38.35669,0,0,43935,Belgium,BEL,0.05862462200000001,-0.05862462200000001,0.5249916000000001,shot weighted by location,1.0
1409839166,2026-07-07T00:01:12.885Z,1',1.0,3,57,Goal Prevention,The goalkeeper of USA pulls off a save.,43921,USA,USA,home,1.32351,45.845137,,,0,0,43935,Belgium,BEL,0.04,-0.04,0.9735298,save/goal prevention credited to opponent attack,1.0
140294208,2026-07-07T00:02:15.728Z,2',2.0,3,16,Corner,Maxim DE CUYPER (Belgium) takes a corner kick.,43935,Belgium,BEL,away,0.81554,0.43847,,,0,0,43935,Belgium,BEL,0.025,-0.025,0.9836892,corner pressure,2.0
143835198,2026-07-07T00:02:17.73Z,2',2.0,3,12,Attempt at Goal,Charles DE KETELAERE (Belgium) attempts an effort on goal.,43935,Belgium,BEL,away,9.73643,55.983587,50.705791600000005,2.102198,0,0,43935,Belgium,BEL,0.071237213,-0.071237213,0.8052714,shot weighted by location,2.0
1479828549,2026-07-07T00:02:18.571Z,2',2.0,3,57,Goal Prevention,The goalkeeper of USA pulls off a save.,43921,USA,USA,home,1.9511299999999998,51.26166800000001,,,0,0,43935,Belgium,BEL,0.04,-0.04,0.9609774,save/goal prevention credited to opponent attack,2.0
425158717,2026-07-07T00:06:44.717Z,7',7.0,3,18,Foul,Antonee ROBINSON (USA) commits a foul.,43921,USA,USA,home,68.63517999999999,93.29127,,,0,0,43935,Belgium,BEL,0.016199479199999995,-0.016199479199999995,0.3727035999999998,"foul credited to opponent, boosted near goal",7.0
478577719,2026-07-07T00:07:44.577Z,8',8.0,3,12,Attempt at Goal,Youri TIELEMANS (Belgium) attempts an effort on goal.,43935,Belgium,BEL,away,7.2433499999999995,56.102405,,,0,0,43935,Belgium,BEL,0.073480985,-0.073480985,0.855133,shot weighted by location,8.0
39219216,2026-07-07T00:09:02.815Z,9',9.0,3,1,Assist,Assisted by Nicolas RASKIN.,43935,Belgium,BEL,away,6.4395999999999995,30.703940000000003,,,0,0,43935,Belgium,BEL,0.0,-0.0,0.871208,annotation/no threat,9.0
39219212,2026-07-07T00:09:03.636Z,9',9.0,3,12,Attempt at Goal,Charles DE KETELAERE (Belgium) attempts an effort on goal.,43935,Belgium,BEL,away,3.08248,48.151972,54.709269000000006,13.62226,0,0,43935,Belgium,BEL,0.077225768,-0.077225768,0.9383504,shot weighted by location,9.0
39219214,2026-07-07T00:09:03.636Z,0',0.0,2,0,Goal!,Charles DE KETELAERE (Belgium) scores!!,43935,Belgium,BEL,away,3.08248,48.151972,54.709269000000006,13.62226,0,1,43935,Belgium,BEL,0.1,-0.1,0.9383504,goal,0.0
