minute,home_recent_value,away_recent_value,raw_momentum,momentum,momentum_smoothed,is_hydration_break
0.0,0.0,0.1,-0.1,-59.12734265395575,-63.72181756002698,False
0.25,0.0,0.1,-0.1,-59.12734265395575,-66.78480083074113,False
0.5,0.0,0.1,-0.1,-59.12734265395575,-68.97264602410839,False
0.75,0.0,0.1,-0.1,-59.12734265395575,-70.61352991913382,False
1.0,0.0,0.13885237100000003,-0.13885237100000003,-82.0997171843119,-73.87869326145228,False
1.25,0.0,0.13885237100000003,-0.13885237100000003,-82.0997171843119,-78.42009963323498,False
1.5,0.0,0.13885237100000003,-0.13885237100000003,-82.0997171843119,-82.96150600501768,False
1.75,0.0,0.13885237100000003,-0.13885237100000003,-82.0997171843119,-87.50291237680037,False
2.0,0.0,0.16912649125,-0.16912649125,-100.0,-88.1831458631542,False
2.25,0.0,0.16912649125,-0.16912649125,-100.0,-86.31089329057957,False
2.5,0.0,0.16912649125,-0.16912649125,-100.0,-84.43864071800493,False
2.75,0.0,0.16912649125,-0.16912649125,-100.0,-82.56638814543031,False
3.0,0.0,0.11035409525,-0.11035409525,-65.24944403114021,-76.8329626874268,False
3.25,0.0,0.11035409525,-0.11035409525,-65.24944403114021,-69.11061691656909,False
3.5,0.0,0.11035409525,-0.11035409525,-65.24944403114021,-61.38827114571135,False
3.75,0.0,0.11035409525,-0.11035409525,-65.24944403114021,-53.66592537485362,False
4.0,0.0,0.05158169925,-0.05158169925,-30.498888062280425,-43.724832903399125,False
4.25,0.0,0.05158169925,-0.05158169925,-30.498888062280425,-37.6449133173735,False
4.5,0.0,0.05158169925,-0.05158169925,-30.498888062280425,-31.56499373134788,False
4.75,0.0,0.05158169925,-0.05158169925,-30.498888062280425,-25.48507414532225,False
5.0,0.0,0.01780930325,-0.01780930325,-10.530167756909577,-18.23513591964,False
5.25,0.0,0.01780930325,-0.01780930325,-10.530167756909577,-14.846370579386619,False
5.5,0.0,0.01780930325,-0.01780930325,-10.530167756909577,-11.457605239133239,False
5.75,0.0,0.01780930325,-0.01780930325,-10.530167756909577,-8.06883989887986,False
6.0,0.0,0.0,0.0,0.0,-5.7443325113754,False
6.25,0.0,0.0,0.0,0.0,-5.6385718244677,False
6.5,0.0,0.0,0.0,0.0,-5.532811137560002,False
6.75,0.0,0.0,0.0,0.0,-5.427050450652303,False
7.0,0.0,0.016199479199999995,-0.016199479199999995,-9.578321574740288,-9.882709029607577,False
7.25,0.0,0.016199479199999995,-0.016199479199999995,-9.578321574740288,-15.508386248219473,False
7.5,0.0,0.016199479199999995,-0.016199479199999995,-9.578321574740288,-21.134063466831364,False
7.75,0.0,0.016199479199999995,-0.016199479199999995,-9.578321574740288,-26.75974068544326,False
8.0,0.0,0.0856305944,-0.0856305944,-50.631094967507046,-35.98598741763414,False
8.25,0.0,0.0856305944,-0.0856305944,-50.631094967507046,-44.1479761970761,False
8.5,0.0,0.0856305944,-0.0856305944,-50.631094967507046,-52.30996497651805,False
8.75,0.0,0.0856305944,-0.0856305944,-50.631094967507046,-60.471953755960016,False
9.0,0.0,0.14043624635,-0.14043624635,-83.03622058971793,-65.89263087363251,False
9.25,0.0,0.14043624635,-0.14043624635,-83.03622058971793,-66.75188872544203,False
9.5,0.0,0.14043624635,-0.14043624635,-83.03622058971793,-67.61114657725153,False
9.75,0.0,0.14043624635,-0.14043624635,-83.03622058971793,-68.47040442906105,False
10.0,0.0,0.09870968829999999,-0.09870968829999999,-58.36441563379267,-67.24876834587687,False
10.25,0.0,0.09870968829999999,-0.09870968829999999,-58.36441563379267,-62.4265627491137,False
10.5,0.0,0.09870968829999999,-0.09870968829999999,-58.36441563379267,-57.604357152350545,False
10.75,0.0,0.09870968829999999,-0.09870968829999999,-58.36441563379267,-52.782151555587376,False
11.0,0.0,0.06703560221,-0.06703560221,-39.636370218849436,-45.31959435354801,False
11.25,0.0,0.06703560221,-0.06703560221,-39.636370218849436,-40.598348813278136,False
11.5,0.0,0.06703560221,-0.06703560221,-39.636370218849436,-35.87710327300826,False
11.75,0.0,0.06703560221,-0.06703560221,-39.636370218849436,-31.155857732738372,False
12.0,0.0,0.02684579597,-0.02684579597,-15.873205771363745,-25.00113152570486,False
12.25,0.0,0.02684579597,-0.02684579597,-15.873205771363745,-20.92729925366503,False
12.5,0.0,0.02684579597,-0.02684579597,-15.873205771363745,-16.853466981625207,False
12.75,0.0,0.02684579597,-0.02684579597,-15.873205771363745,-12.779634709585386,False
13.0,0.0,0.00502623598,-0.00502623598,-2.971879770491011,-12.251734545722412,False
13.25,0.0,0.00502623598,-0.00502623598,-2.971879770491011,-14.36418598713563,False
13.5,0.0,0.00502623598,-0.00502623598,-2.971879770491011,-16.476637428548845,False
