event_id,timestamp,match_minute_label,match_minute,period,type_id,event_type,description,team_id,team,team_abbr,side,x,y,goal_x,goal_y,home_goals,away_goals,attacking_team_id,attacking_team,attacking_abbr,proxy_value,signed_proxy_value,location_danger,score_reason,elapsed_minute
1576995948,2026-07-03T21:58:39.509Z,0',0.0,2,79,Coin Toss,Cabo Verde won the coin toss and chose to kick off,43850,Cabo Verde,CPV,away,,,,,0,0,43850,Cabo Verde,CPV,0.0,-0.0,0.0,annotation/no threat,0.0
1668098152,2026-07-03T22:00:23.442Z,0',0.0,3,7,Start Time,The referee signals the start of the first period.,,,,,,,,,0,0,,,,0.0,0.0,0.0,annotation/no threat,0.0
1926122599,2026-07-03T22:04:19.907Z,4',4.0,3,18,Foul,Rodrigo DE PAUL (Argentina) commits a foul.,43922,Argentina,ARG,home,35.599920000000004,1.4889299999999999,,,0,0,43850,Cabo Verde,CPV,0.014336035199999996,-0.014336035199999996,0.28800159999999986,"foul credited to opponent, boosted near goal",4.0
2095255657,2026-07-03T22:07:18.186Z,7',7.0,3,12,Attempt at Goal,RYAN MENDES (Cabo Verde) attempts an effort on goal.,43850,Cabo Verde,CPV,away,14.57869,67.81984,,,0,0,43850,Cabo Verde,CPV,0.06687917900000001,-0.06687917900000001,0.7084262,shot weighted by location,7.0
855630835,2026-07-03T22:07:20.308Z,7',7.0,3,57,Goal Prevention,The goalkeeper of Argentina pulls off a save.,43922,Argentina,ARG,home,3.54548,53.57728899999999,,,0,0,43850,Cabo Verde,CPV,0.04,-0.04,0.9290904,save/goal prevention credited to opponent attack,7.0
99763305,2026-07-03T22:09:40.368Z,10',10.0,3,18,Foul,Cristian ROMERO (Argentina) commits a foul.,43922,Argentina,ARG,home,49.5955472,45.328680999999996,,,0,0,43850,Cabo Verde,CPV,0.008177959232,-0.008177959232,0.008089055999999983,"foul credited to opponent, boosted near goal",10.0
392206447,2026-07-03T22:14:32.119Z,15',15.0,3,12,Attempt at Goal,Lionel MESSI (Argentina) attempts an effort on goal.,43922,Argentina,ARG,home,91.48187,69.26666999999999,84.42094999999999,2.102198,0,0,43922,Argentina,ARG,0.07233368300000001,0.07233368300000001,0.8296374,shot weighted by location,15.0
521619573,2026-07-03T22:16:24.591Z,17',17.0,3,18,Foul,JOVANE CABRAL (Cabo Verde) commits a foul.,43850,Cabo Verde,CPV,away,77.67031,59.223482000000004,,,0,0,43922,Argentina,ARG,0.0201749364,0.0201749364,0.5534062,"foul credited to opponent, boosted near goal",17.0
617045104,2026-07-03T22:18:11.398Z,18',18.0,3,12,Attempt at Goal,Lionel MESSI (Argentina) attempts an effort on goal.,43922,Argentina,ARG,home,75.66925,62.088089999999994,41.700141,2.102198,0,0,43922,Argentina,ARG,0.05810232500000001,0.05810232500000001,0.5133850000000001,shot weighted by location,18.0
1525488830,2026-07-03T22:18:12.579Z,18',18.0,3,57,Goal Prevention,The goalkeeper of Cabo Verde pulls off a save.,43850,Cabo Verde,CPV,away,99.07291000000001,53.29488799999999,,,0,0,43922,Argentina,ARG,0.04,0.04,0.9814582000000002,save/goal prevention credited to opponent attack,18.0
1010705517,2026-07-03T22:24:36.442Z,25',25.0,3,83,Delay,Match paused for a hydration break,,,,,,,,,0,0,,,,0.0,0.0,0.0,annotation/no threat,25.0
1194382454,2026-07-03T22:27:37.853Z,28',28.0,3,78,Resume,Match resumed after interruption,,,,,,,,,0,0,,,,0.0,0.0,0.0,annotation/no threat,28.0
1259003000,2026-07-03T22:28:23.37Z,28',28.0,3,1,Assist,Assisted by Lisandro MARTINEZ.,43922,Argentina,ARG,home,57.15355600000001,54.484023,,,0,0,43922,Argentina,ARG,0.0,0.0,0.14307112000000022,annotation/no threat,28.0
1247173741,2026-07-03T22:28:26.413Z,29',29.0,3,12,Attempt at Goal,Lionel MESSI (Argentina) attempts an effort on goal.,43922,Argentina,ARG,home,95.79633,38.90234,62.17924,35.10859,0,0,43922,Argentina,ARG,0.076216697,0.076216697,0.9159265999999999,shot weighted by location,29.0
1247173743,2026-07-03T22:28:26.413Z,29',29.0,3,0,Goal!,Lionel MESSI (Argentina) scores!!,43922,Argentina,ARG,home,95.79633,38.90234,62.17924,35.10859,1,0,43922,Argentina,ARG,0.1,0.1,0.9159265999999999,goal,29.0
1452468339,2026-07-03T22:31:38.404Z,32',32.0,3,18,Foul,Nahuel MOLINA (Argentina) commits a foul.,43922,Argentina,ARG,home,59.182915,27.04247,,,1,0,43850,Cabo Verde,CPV,0.012040482600000001,-0.012040482600000001,0.18365830000000005,"foul credited to opponent, boosted near goal",32.0
1695999092,2026-07-03T22:35:36.442Z,36',36.0,3,15,Offside,Nahuel MOLINA (Argentina) is ruled offside.,43922,Argentina,ARG,home,,,,,1,0,43922,Argentina,ARG,0.01,0.01,0.0,attacking offside,36.0
1933794422,2026-07-03T22:39:28.314Z,40',40.0,3,18,Foul,DEROY DUARTE (Cabo Verde) commits a foul.,43850,Cabo Verde,CPV,away,32.791940000000004,81.50958,,,1,0,43922,Argentina,ARG,0.015571546399999999,0.015571546399999999,0.34416119999999994,"foul credited to opponent, boosted near goal",40.0
2031545456,2026-07-03T22:41:03.442Z,41',41.0,3,15,Offside,Facundo MEDINA (Argentina) is ruled offside.,43922,Argentina,ARG,home,,,,,1,0,43922,Argentina,ARG,0.01,0.01,0.0,attacking offside,41.0
496760,2026-07-03T22:41:51.717Z,42',42.0,3,18,Foul,DEROY DUARTE (Cabo Verde) commits a foul.,43850,Cabo Verde,CPV,away,26.16696,21.95737,,,1,0,43922,Argentina,ARG,0.0184865376,0.0184865376,0.4766608,"foul credited to opponent, boosted near goal",42.0
2125083774,2026-07-03T22:42:38.023Z,43',43.0,3,18,Foul,DINEY BORGES (Cabo Verde) commits a foul.,43850,Cabo Verde,CPV,away,44.62925,0.76784,,,1,0,43922,Argentina,ARG,0.010363130000000002,0.010363130000000002,0.10741500000000004,"foul credited to opponent, boosted near goal",43.0
2144203904,2026-07-03T22:42:53.339Z,43',43.0,3,18,Foul,Lautaro MARTINEZ (Argentina) commits a foul.,43922,Argentina,ARG,home,95.61093000000001,20.105629999999998,,,1,0,43850,Cabo Verde,CPV,0.028068809200000003,-0.028068809200000003,0.9122186000000002,"foul credited to opponent, boosted near goal",43.0
96173183,2026-07-03T22:44:40.886Z,45',45.0,3,12,Attempt at Goal,Enzo FERNANDEZ (Argentina) attempts an effort on goal.,43922,Argentina,ARG,home,81.78141,54.112563,62.25979,2.365557,1,0,43922,Argentina,ARG,0.06360326899999999,0.06360326899999999,0.6356281999999999,shot weighted by location,45.0
1005805918,2026-07-03T22:44:41.567Z,45',45.0,3,57,Goal Prevention,The goalkeeper of Cabo Verde pulls off a save.,43850,Cabo Verde,CPV,away,97.59234,46.993201,,,1,0,43922,Argentina,ARG,0.04,0.04,0.9518467999999999,save/goal prevention credited to opponent attack,45.0
253410426,2026-07-03T22:47:05.39Z,45'+2',47.0,3,18,Foul,Lionel MESSI (Argentina) commits a foul.,43922,Argentina,ARG,home,75.06966,29.6209,,,1,0,43850,Cabo Verde,CPV,0.0190306504,-0.0190306504,0.5013932,"foul credited to opponent, boosted near goal",47.0
389031043,2026-07-03T22:49:28.493Z,45'+5',50.0,3,8,End Time,The referee brings the first period to an end.,,,,,,,,,1,0,,,,0.0,0.0,0.0,annotation/no threat,50.0
1398224000,2026-07-03T23:05:53.692Z,45',45.0,5,7,Start Time,The referee signals the start of the second period.,,,,,,,,,1,0,,,,0.0,0.0,0.0,annotation/no threat,50.0
1593508979,2026-07-03T23:09:03.788Z,49',49.0,5,16,Corner,SIDNY LOPES CABRAL (Cabo Verde) takes a corner kick.,43850,Cabo Verde,CPV,away,99.14802,99.41926,,,1,0,43850,Cabo Verde,CPV,0.025,-0.025,0.9829604000000001,corner pressure,54.0
1599213697,2026-07-03T23:09:08.532Z,49',49.0,5,12,Attempt at Goal,JOVANE CABRAL (Cabo Verde) attempts an effort on goal.,43850,Cabo Verde,CPV,away,78.88604000000001,61.41951,59.240308,77.76855,1,0,43850,Cabo Verde,CPV,0.06099743600000001,-0.06099743600000001,0.5777208000000001,shot weighted by location,54.0
1634833538,2026-07-03T23:09:43.848Z,49',49.0,5,16,Corner,SIDNY LOPES CABRAL (Cabo Verde) takes a corner kick.,43850,Cabo Verde,CPV,away,100.0,0.0,,,1,0,43850,Cabo Verde,CPV,0.025,-0.025,1.0,corner pressure,54.0
