event_id,timestamp,match_minute_label,match_minute,period,type_id,event_type,description,team_id,team,team_abbr,side,x,y,goal_x,goal_y,home_goals,away_goals,attacking_team_id,attacking_team,attacking_abbr,proxy_value,signed_proxy_value,location_danger,score_reason,elapsed_minute
1816638464,2026-07-03T17:58:07.242Z,0',0.0,2,80,Coin Toss,Egypt won the coin toss and chose the side,43855,Egypt,EGY,away,,,,,0,0,43855,Egypt,EGY,0.0,-0.0,0.0,annotation/no threat,0.0
1933581312,2026-07-03T18:00:02.131Z,0',0.0,3,7,Start Time,The referee signals the start of the first period.,,,,,,,,,0,0,,,,0.0,0.0,0.0,annotation/no threat,0.0
44319745,2026-07-03T18:04:13.762Z,5',5.0,3,12,Attempt at Goal,Cristian VOLPATO (Australia) attempts an effort on goal.,43976,Australia,AUS,home,76.97627,45.487596,39.79222,48.33731,0,0,43976,Australia,AUS,0.059278643000000006,0.059278643000000006,0.5395254,shot weighted by location,5.0
197272577,2026-07-03T18:06:42.551Z,7',7.0,3,16,Corner,Aiden ONEILL (Australia) takes a corner kick.,43976,Australia,AUS,home,99.72197,98.46996999999999,,,0,0,43976,Australia,AUS,0.025,0.025,0.9944394,corner pressure,7.0
352780293,2026-07-03T18:09:01.349Z,9',9.0,3,18,Foul,YASSER IBRAHIM (Egypt) commits a foul.,43855,Egypt,EGY,away,50.5727106,66.673,,,0,0,43976,Australia,AUS,0.008251992663999999,0.008251992663999999,0.011454211999999964,"foul credited to opponent, boosted near goal",9.0
441260035,2026-07-03T18:10:31.279Z,11',11.0,3,18,Foul,Connor METCALFE (Australia) commits a foul.,43976,Australia,AUS,home,95.27167,99.4528,,,0,0,43855,Egypt,EGY,0.027919534799999996,-0.027919534799999996,0.9054333999999999,"foul credited to opponent, boosted near goal",11.0
496218117,2026-07-03T18:11:22.57Z,12',12.0,3,18,Foul,Jackson IRVINE (Australia) commits a foul.,43976,Australia,AUS,home,10.67425,18.28199,,,0,0,43855,Egypt,EGY,0.02530333,-0.02530333,0.786515,"foul credited to opponent, boosted near goal",12.0
541403138,2026-07-03T18:12:19.367Z,13',13.0,3,12,Attempt at Goal,EMAM ASHOUR (Egypt) attempts an effort on goal.,43855,Egypt,EGY,away,13.32456,24.81882,,,0,0,43855,Egypt,EGY,0.06800789600000001,-0.06800789600000001,0.7335088000000001,shot weighted by location,13.0
572838924,2026-07-03T18:12:24.832Z,13',13.0,3,1,Assist,Assisted by KARIM HAFEZ.,43855,Egypt,EGY,away,20.90021,72.83269,,,0,0,43855,Egypt,EGY,0.0,-0.0,0.5819958,annotation/no threat,13.0
564622340,2026-07-03T18:12:26.414Z,13',13.0,3,12,Attempt at Goal,EMAM ASHOUR (Egypt) attempts an effort on goal.,43855,Egypt,EGY,away,7.20373,41.110922,36.57704,2.64448,0,0,43855,Egypt,EGY,0.073516643,-0.073516643,0.8559254000000001,shot weighted by location,13.0
564622342,2026-07-03T18:12:26.414Z,13',13.0,3,0,Goal!,EMAM ASHOUR (Egypt) scores!!,43855,Egypt,EGY,away,7.20373,41.110922,36.57704,2.64448,0,1,43855,Egypt,EGY,0.1,-0.1,0.8559254000000001,goal,13.0
670353423,2026-07-03T18:14:25.473Z,15',15.0,3,12,Attempt at Goal,Connor METCALFE (Australia) attempts an effort on goal.,43976,Australia,AUS,home,84.42748,45.031233,,,0,1,43976,Australia,AUS,0.065984732,0.065984732,0.6885496,shot weighted by location,15.0
679724040,2026-07-03T18:14:27.775Z,15',15.0,3,12,Attempt at Goal,Aiden ONEILL (Australia) attempts an effort on goal.,43976,Australia,AUS,home,86.45871000000001,64.86627,,,0,1,43976,Australia,AUS,0.06781283900000001,0.06781283900000001,0.7291742000000002,shot weighted by location,15.0
762725395,2026-07-03T18:15:55.423Z,16',16.0,3,12,Attempt at Goal,OMAR MARMOUSH (Egypt) attempts an effort on goal.,43855,Egypt,EGY,away,13.19531,37.07728,,,0,1,43855,Egypt,EGY,0.06812422100000001,-0.06812422100000001,0.7360938,shot weighted by location,16.0
1055635465,2026-07-03T18:20:18.131Z,21',21.0,3,15,Offside,MOSTAFA ZICO (Egypt) is ruled offside.,43855,Egypt,EGY,away,,,,,0,1,43855,Egypt,EGY,0.01,-0.01,0.0,attacking offside,21.0
1146544138,2026-07-03T18:22:06.554Z,23',23.0,3,16,Corner,Cristian VOLPATO (Australia) takes a corner kick.,43976,Australia,AUS,home,99.36733,99.15689,,,0,1,43976,Australia,AUS,0.025,0.025,0.9873466,corner pressure,23.0
1160033292,2026-07-03T18:22:23.992Z,23',23.0,3,83,Delay,Match paused for a hydration break,,,,,,,,,0,1,,,,0.0,0.0,0.0,annotation/no threat,23.0
1363421195,2026-07-03T18:25:42.602Z,26',26.0,3,78,Resume,Match resumed after interruption,,,,,,,,,0,1,,,,0.0,0.0,0.0,annotation/no threat,26.0
385686558,2026-07-03T18:30:42.81Z,31',31.0,3,18,Foul,YASSER IBRAHIM (Egypt) commits a foul.,43855,Egypt,EGY,away,67.45677,70.22688000000001,,,0,1,43976,Australia,AUS,0.015680978800000002,0.015680978800000002,0.3491354000000001,"foul credited to opponent, boosted near goal",31.0
530881564,2026-07-03T18:32:41.188Z,33',33.0,3,18,Foul,Harry SOUTTAR (Australia) commits a foul.,43976,Australia,AUS,home,88.42072,45.611934,,,0,1,43855,Egypt,EGY,0.0249051168,-0.0249051168,0.7684144,"foul credited to opponent, boosted near goal",33.0
1933557771,2026-07-03T18:34:58.305Z,35',35.0,3,12,Attempt at Goal,Aziz BEHICH (Australia) attempts an effort on goal.,43976,Australia,AUS,home,84.88425000000001,68.67989,42.237735,2.102198,0,1,43976,Australia,AUS,0.066395825,0.066395825,0.6976850000000001,shot weighted by location,35.0
2059766808,2026-07-03T18:36:46.513Z,37',37.0,3,18,Foul,EMAM ASHOUR (Egypt) commits a foul.,43855,Egypt,EGY,away,59.010346999999996,4.96372,,,0,1,43976,Australia,AUS,0.011964552679999997,0.011964552679999997,0.18020693999999993,"foul credited to opponent, boosted near goal",37.0
2109569041,2026-07-03T18:37:48.375Z,38',38.0,3,16,Corner,Cristian VOLPATO (Australia) takes a corner kick.,43976,Australia,AUS,home,99.66123,1.4562,,,0,1,43976,Australia,AUS,0.025,0.025,0.9932246,corner pressure,38.0
98890771,2026-07-03T18:39:37.464Z,40',40.0,3,18,Foul,Jordan BOS (Australia) commits a foul.,43976,Australia,AUS,home,24.60269,84.56132,,,0,1,43855,Egypt,EGY,0.0191748164,-0.0191748164,0.5079462,"foul credited to opponent, boosted near goal",40.0
199349278,2026-07-03T18:40:56.131Z,41',41.0,3,15,Offside,HAMDY FATHY (Egypt) is ruled offside.,43855,Egypt,EGY,away,,,,,0,1,43855,Egypt,EGY,0.01,-0.01,0.0,attacking offside,41.0
1351923842,2026-07-03T18:45:40.947Z,45'+1',46.0,3,57,Goal Prevention,The goalkeeper of Australia pulls off a save.,43976,Australia,AUS,home,2.40806,53.012358000000006,,,0,1,43855,Egypt,EGY,0.04,-0.04,0.9518388,save/goal prevention credited to opponent attack,46.0
471856151,2026-07-03T18:46:08.594Z,45'+2',47.0,3,12,Attempt at Goal,Cristian VOLPATO (Australia) attempts an effort on goal.,43976,Australia,AUS,home,82.12998999999999,28.65412,16.10358,6.832294,0,1,43976,Australia,AUS,0.06391699099999999,0.06391699099999999,0.6425997999999998,shot weighted by location,47.0
556187677,2026-07-03T18:47:30.556Z,45'+3',48.0,3,12,Attempt at Goal,Nestory IRANKUNDA (Australia) attempts an effort on goal.,43976,Australia,AUS,home,93.0753,47.477517000000006,47.010780000000004,2.102198,0,1,43976,Australia,AUS,0.07376777000000001,0.07376777000000001,0.861506,shot weighted by location,48.0
1472135398,2026-07-03T18:47:31.677Z,45'+3',48.0,3,57,Goal Prevention,The goalkeeper of Egypt pulls off a save.,43855,Egypt,EGY,away,98.44043,49.97973817,,,0,1,43976,Australia,AUS,0.04,0.04,0.9688086000000001,save/goal prevention credited to opponent attack,48.0
740757534,2026-07-03T18:50:31.545Z,45'+6',51.0,3,8,End Time,The referee brings the first period to an end.,,,,,,,,,0,1,,,,0.0,0.0,0.0,annotation/no threat,51.0
1634987039,2026-07-03T19:04:55.537Z,,,4,5,Substitution,Before the second half begins Kai TREWIN (in) comes off the bench to replace Jordan BOS (out) (Australia),43976,Australia,AUS,home,,,,,0,1,43976,Australia,AUS,0.0,0.0,0.0,annotation/no threat,
1746755619,2026-07-03T19:06:54.112Z,45',45.0,5,7,Start Time,The referee signals the start of the second period.,,,,,,,,,0,1,,,,0.0,0.0,0.0,annotation/no threat,51.0
