minute,home_recent_value,away_recent_value,raw_momentum,momentum,momentum_smoothed,is_hydration_break
0.0,0.0,0.0,0.0,0.0,0.0,False
0.25,0.0,0.0,0.0,0.0,0.0,False
0.5,0.0,0.0,0.0,0.0,0.0,False
0.75,0.0,0.0,0.0,0.0,0.0,False
1.0,0.0,0.0,0.0,0.0,0.0,False
1.25,0.0,0.0,0.0,0.0,0.0,False
1.5,0.0,0.0,0.0,0.0,0.0,False
1.75,0.0,0.0,0.0,0.0,0.0,False
2.0,0.0,0.0,0.0,0.0,0.0,False
2.25,0.0,0.0,0.0,0.0,0.0,False
2.5,0.0,0.0,0.0,0.0,0.0,False
2.75,0.0,0.0,0.0,0.0,0.0,False
3.0,0.0,0.0,0.0,0.0,0.0,False
3.25,0.0,0.0,0.0,0.0,0.0,False
3.5,0.0,0.0,0.0,0.0,0.0,False
3.75,0.0,0.0,0.0,0.0,0.0,False
4.0,0.0,0.0,0.0,0.0,0.0,False
4.25,0.0,0.0,0.0,0.0,0.0,False
4.5,0.0,0.0,0.0,0.0,0.0,False
4.75,0.0,0.0,0.0,0.0,0.0,False
5.0,0.0,0.0,0.0,0.0,0.0,False
5.25,0.0,0.0,0.0,0.0,0.0,False
5.5,0.0,0.0,0.0,0.0,0.0,False
5.75,0.0,0.0,0.0,0.0,0.0,False
6.0,0.0,0.0,0.0,0.0,-0.8351576774102656,False
6.25,0.0,0.0,0.0,0.0,-1.6703153548205312,False
6.5,0.0,0.0,0.0,0.0,-2.505473032230797,False
6.75,0.0,0.0,0.0,0.0,-3.3406307096410623,False
7.0,0.0,0.010928629439999999,-0.010928629439999999,-7.51641909669239,-3.966998967698762,False
7.25,0.0,0.010928629439999999,-0.010928629439999999,-7.51641909669239,-4.59336722575646,False
7.5,0.0,0.010928629439999999,-0.010928629439999999,-7.51641909669239,-5.219735483814159,False
7.75,0.0,0.010928629439999999,-0.010928629439999999,-7.51641909669239,-5.846103741871859,False
8.0,0.0,0.00819647208,-0.00819647208,-5.637314322519292,-1.2147006404289158,False
8.25,0.0,0.00819647208,-0.00819647208,-5.637314322519292,4.251860138424292,False
8.5,0.0,0.00819647208,-0.00819647208,-5.637314322519292,9.7184209172775,False
8.75,0.0,0.00819647208,-0.00819647208,-5.637314322519292,15.18498169613071,False
9.0,0.066069503,0.005464314719999999,0.06060518828,41.68262791298648,18.207221344846115,False
9.25,0.066069503,0.005464314719999999,0.06060518828,41.68262791298648,21.02067157420895,False
9.5,0.066069503,0.005464314719999999,0.06060518828,41.68262791298648,23.83412180357179,False
9.75,0.066069503,0.005464314719999999,0.06060518828,41.68262791298648,26.647572032934633,False
10.0,0.04955212725,0.02093261136,0.028619515890000002,19.683737741746263,28.755282462726356,False
10.25,0.04955212725,0.02093261136,0.028619515890000002,19.683737741746263,25.60522153301744,False
10.5,0.04955212725,0.02093261136,0.028619515890000002,19.683737741746263,22.455160603308524,False
10.75,0.04955212725,0.02093261136,0.028619515890000002,19.683737741746263,19.305099673599607,False
11.0,0.0330347515,0.013650340499999998,0.019384411000000004,13.332079545606229,15.240509524967004,False
11.25,0.0330347515,0.013650340499999998,0.019384411000000004,13.332079545606229,13.62024050647221,False
11.5,0.0330347515,0.013650340499999998,0.019384411000000004,13.332079545606229,11.999971487977415,False
11.75,0.0330347515,0.013650340499999998,0.019384411000000004,13.332079545606229,10.379702469482616,False
12.0,0.01651737575,0.009100226999999999,0.0074171487500000015,5.101316575293096,1.7744607038953046,False
12.25,0.01651737575,0.009100226999999999,0.0074171487500000015,5.101316575293096,-6.125041262120895,False
