event_id,timestamp,match_minute_label,match_minute,period,type_id,event_type,description,team_id,team,team_abbr,side,x,y,goal_x,goal_y,home_goals,away_goals,attacking_team_id,attacking_team,attacking_abbr,proxy_value,signed_proxy_value,location_danger,score_reason,elapsed_minute
203745280,2026-06-29T16:56:53.285Z,0',0.0,2,79,Coin Toss,Brazil won the coin toss and chose to kick off,43924,Brazil,BRA,home,,,,,0,0,43924,Brazil,BRA,0.0,0.0,0.0,annotation/no threat,0.0
403836929,2026-06-29T17:00:10.795Z,0',0.0,3,7,Start Time,The referee signals the start of the first period.,,,,,,,,,0,0,,,,0.0,0.0,0.0,annotation/no threat,0.0
477520898,2026-06-29T17:01:02.077Z,1',1.0,3,18,Foul,Takehiro TOMIYASU (Japan) commits a foul.,43819,Japan,JPN,away,25.58247,81.76877999999999,,,0,0,43924,Brazil,BRA,0.018743713199999998,0.018743713199999998,0.48835059999999997,"foul credited to opponent, boosted near goal",1.0
507106307,2026-06-29T17:01:50.405Z,2',2.0,3,12,Attempt at Goal,BRUNO GUIMARAES (Brazil) attempts an effort on goal.,43924,Brazil,BRA,home,84.2374,33.62203,28.06207,2.102198,0,0,43924,Brazil,BRA,0.06581366,0.06581366,0.6847479999999999,shot weighted by location,2.0
546412548,2026-06-29T17:02:22.016Z,3',3.0,3,16,Corner,BRUNO GUIMARAES (Brazil) takes a corner kick.,43924,Brazil,BRA,home,100.0,0.0,,,0,0,43924,Brazil,BRA,0.025,0.025,1.0,corner pressure,3.0
784459782,2026-06-29T17:06:11.726Z,6',6.0,3,18,Foul,Kaishu SANO (Japan) commits a foul.,43819,Japan,JPN,away,65.78394,78.79582,,,0,0,43924,Brazil,BRA,0.014944933600000002,0.014944933600000002,0.31567880000000004,"foul credited to opponent, boosted near goal",6.0
991029248,2026-06-29T17:09:43.578Z,10',10.0,3,12,Attempt at Goal,BRUNO GUIMARAES (Brazil) attempts an effort on goal.,43924,Brazil,BRA,home,85.14945,64.44683,,,0,0,43924,Brazil,BRA,0.06663450500000001,0.06663450500000001,0.7029890000000001,shot weighted by location,10.0
1108929538,2026-06-29T17:11:26.56Z,12',12.0,3,2,Yellow card,Kaishu SANO (Japan) is booked by the referee.,43819,Japan,JPN,away,42.700798,88.56384,,,0,0,43819,Japan,JPN,0.0,-0.0,0.14598403999999998,annotation/no threat,12.0
1205630981,2026-06-29T17:13:12.186Z,14',14.0,3,12,Attempt at Goal,MATHEUS CUNHA (Brazil) attempts an effort on goal.,43924,Brazil,BRA,home,80.20755000000001,47.127672,30.69209,2.102198,0,0,43924,Brazil,BRA,0.06218679500000002,0.06218679500000002,0.6041510000000002,shot weighted by location,14.0
2113702317,2026-06-29T17:13:13.147Z,14',14.0,3,57,Goal Prevention,The goalkeeper of Japan pulls off a save.,43819,Japan,JPN,away,97.85621,55.295852999999994,,,0,0,43924,Brazil,BRA,0.04,0.04,0.9571242000000001,save/goal prevention credited to opponent attack,14.0
1222400004,2026-06-29T17:13:23.537Z,14',14.0,3,16,Corner,VINICIUS JUNIOR (Brazil) takes a corner kick.,43924,Brazil,BRA,home,99.16051999999999,99.84408,,,0,0,43924,Brazil,BRA,0.025,0.025,0.9832103999999998,corner pressure,14.0
1227901962,2026-06-29T17:13:30.845Z,14',14.0,3,12,Attempt at Goal,BRUNO GUIMARAES (Brazil) attempts an effort on goal.,43924,Brazil,BRA,home,89.24531,70.72366,,,0,0,43924,Brazil,BRA,0.070320779,0.070320779,0.7849062000000001,shot weighted by location,14.0
1272018952,2026-06-29T17:14:05.699Z,14',14.0,3,2,Yellow card,CASEMIRO (Brazil) is booked by the referee.,43924,Brazil,BRA,home,19.658610000000003,32.07144,,,0,0,43924,Brazil,BRA,0.0,0.0,0.6068277999999999,annotation/no threat,14.0
1364502537,2026-06-29T17:15:45.779Z,16',16.0,3,12,Attempt at Goal,Daichi KAMADA (Japan) attempts an effort on goal.,43819,Japan,JPN,away,18.30697,32.15898,38.67558,2.102198,0,0,43819,Japan,JPN,0.063523727,-0.063523727,0.6338606,shot weighted by location,16.0
1397761035,2026-06-29T17:16:21.615Z,17',17.0,3,16,Corner,Junya ITO (Japan) takes a corner kick.,43819,Japan,JPN,away,0.26467,1.08483,,,0,0,43819,Japan,JPN,0.025,-0.025,0.9947066,corner pressure,17.0
1495326728,2026-06-29T17:17:50.492Z,18',18.0,3,18,Foul,Ayase UEDA (Japan) commits a foul.,43819,Japan,JPN,away,,,,,0,0,43924,Brazil,BRA,0.008,0.008,0.0,"foul credited to opponent, boosted near goal",18.0
1811176461,2026-06-29T17:23:04.741Z,23',23.0,3,83,Delay,Match paused for a hydration break,,,,,,,,,0,0,,,,0.0,0.0,0.0,annotation/no threat,23.0
2007786505,2026-06-29T17:26:17.214Z,27',27.0,3,78,Resume,Match resumed after interruption,,,,,,,,,0,0,,,,0.0,0.0,0.0,annotation/no threat,27.0
2059454478,2026-06-29T17:27:07.881Z,27',27.0,3,16,Corner,Junya ITO (Japan) takes a corner kick.,43819,Japan,JPN,away,0.0,100.0,,,0,0,43819,Japan,JPN,0.025,-0.025,1.0,corner pressure,27.0
2062343178,2026-06-29T17:27:09.703Z,27',27.0,3,12,Attempt at Goal,Ayase UEDA (Japan) attempts an effort on goal.,43819,Japan,JPN,away,7.436769999999999,48.302967,39.4621,87.0747,0,0,43819,Japan,JPN,0.073306907,-0.073306907,0.8512646,shot weighted by location,27.0
32161809,2026-06-29T17:28:57.651Z,29',29.0,3,12,Attempt at Goal,Kaishu SANO (Japan) attempts an effort on goal.,43819,Japan,JPN,away,20.28283,55.084122,34.20806,2.102198,0,0,43819,Japan,JPN,0.061745453000000006,-0.061745453000000006,0.5943434,shot weighted by location,29.0
32161811,2026-06-29T17:28:57.651Z,29',29.0,3,0,Goal!,Kaishu SANO (Japan) scores!!,43819,Japan,JPN,away,20.28283,55.084122,34.20806,2.102198,0,1,43819,Japan,JPN,0.1,-0.1,0.5943434,goal,29.0
211763214,2026-06-29T17:31:50.503Z,32',32.0,3,18,Foul,Ritsu DOAN (Japan) commits a foul.,43819,Japan,JPN,away,80.1653,95.1279,,,0,1,43924,Brazil,BRA,0.021272732000000003,0.021272732000000003,0.6033060000000001,"foul credited to opponent, boosted near goal",32.0
281466886,2026-06-29T17:32:42.795Z,33',33.0,3,15,Offside,MARQUINHOS (Brazil) is ruled offside.,43924,Brazil,BRA,home,,,,,0,1,43924,Brazil,BRA,0.01,0.01,0.0,attacking offside,33.0
302475300,2026-06-29T17:33:28.021Z,34',34.0,3,12,Attempt at Goal,VINICIUS JUNIOR (Brazil) attempts an effort on goal.,43924,Brazil,BRA,home,76.95156,57.9197,51.762031,14.24966,0,1,43924,Brazil,BRA,0.059256404,0.059256404,0.5390311999999999,shot weighted by location,34.0
1212198858,2026-06-29T17:33:29.002Z,34',34.0,3,57,Goal Prevention,The goalkeeper of Japan pulls off a save.,43819,Japan,JPN,away,97.8244,49.910368989999995,,,0,1,43924,Brazil,BRA,0.04,0.04,0.9564879999999999,save/goal prevention credited to opponent attack,34.0
381334566,2026-06-29T17:34:44.697Z,35',35.0,3,12,Attempt at Goal,LUCAS PAQUETA (Brazil) attempts an effort on goal.,43924,Brazil,BRA,home,84.00416,60.61175,,,0,1,43924,Brazil,BRA,0.065603744,0.065603744,0.6800832,shot weighted by location,35.0
590247962,2026-06-29T17:38:08.541Z,38',38.0,3,12,Attempt at Goal,MATHEUS CUNHA (Brazil) attempts an effort on goal.,43924,Brazil,BRA,home,75.71488,55.357906,52.911317999999994,2.102198,0,1,43924,Brazil,BRA,0.058143392,0.058143392,0.5142975999999999,shot weighted by location,38.0
1501919298,2026-06-29T17:38:09.542Z,38',38.0,3,57,Goal Prevention,The goalkeeper of Japan pulls off a save.,43819,Japan,JPN,away,97.3189,49.542301900000005,,,0,1,43924,Brazil,BRA,0.04,0.04,0.9463779999999999,save/goal prevention credited to opponent attack,38.0
985439247,2026-06-29T17:44:34.827Z,45',45.0,3,12,Attempt at Goal,Junya ITO (Japan) attempts an effort on goal.,43819,Japan,JPN,away,16.18222,70.38674,,,0,1,43819,Japan,JPN,0.065436002,-0.065436002,0.6763556,shot weighted by location,45.0
1002391561,2026-06-29T17:44:37.63Z,45',45.0,3,2,Yellow card,Daichi KAMADA (Japan) is booked by the referee.,43819,Japan,JPN,away,28.073819999999998,51.45616,,,0,1,43819,Japan,JPN,0.0,-0.0,0.4385236,annotation/no threat,45.0
1038527499,2026-06-29T17:45:26.198Z,45'+1',46.0,3,12,Attempt at Goal,LUCAS PAQUETA (Brazil) attempts an effort on goal.,43924,Brazil,BRA,home,88.01623,49.94780951,,,0,1,43924,Brazil,BRA,0.069214607,0.069214607,0.7603245999999999,shot weighted by location,46.0
1268181035,2026-06-29T17:49:12.084Z,45'+5',50.0,3,8,End Time,The referee brings the first period to an end.,,,,,,,,,0,1,,,,0.0,0.0,0.0,annotation/no threat,50.0
142435357,2026-06-29T18:05:39.832Z,,,4,5,Substitution,Before the second half begins ENDRICK (in) comes off the bench to replace LUCAS PAQUETA (out) (Brazil),43924,Brazil,BRA,home,,,,,0,1,43924,Brazil,BRA,0.0,0.0,0.0,annotation/no threat,
200691724,2026-06-29T18:06:46.694Z,45',45.0,5,7,Start Time,The referee signals the start of the second period.,,,,,,,,,0,1,,,,0.0,0.0,0.0,annotation/no threat,50.0
