event_id,timestamp,match_minute_label,match_minute,period,type_id,event_type,description,team_id,team,team_abbr,side,x,y,goal_x,goal_y,home_goals,away_goals,attacking_team_id,attacking_team,attacking_abbr,proxy_value,signed_proxy_value,location_danger,score_reason,elapsed_minute
329420801,2026-06-30T16:58:56.26Z,0',0.0,2,79,Coin Toss,Côte d'Ivoire won the coin toss and chose to kick off,43854,Côte d'Ivoire,CIV,home,,,,,0,0,43854,Côte d'Ivoire,CIV,0.0,0.0,0.0,annotation/no threat,0.0
414635009,2026-06-30T17:00:22.088Z,0',0.0,3,7,Start Time,The referee signals the start of the first period.,,,,,,,,,0,0,,,,0.0,0.0,0.0,annotation/no threat,0.0
560574465,2026-06-30T17:02:41.757Z,3',3.0,3,12,Attempt at Goal,Erling HAALAND (Norway) attempts an effort on goal.,43961,Norway,NOR,away,10.54423,42.023871,,,0,0,43961,Norway,NOR,0.070510193,-0.070510193,0.7891154,shot weighted by location,3.0
616837124,2026-06-30T17:03:01.088Z,3',3.0,3,15,Offside,Alexander SORLOTH (Norway) is ruled offside.,43961,Norway,NOR,away,,,,,0,0,43961,Norway,NOR,0.01,-0.01,0.0,attacking offside,3.0
708307972,2026-06-30T17:04:59.354Z,5',5.0,3,18,Foul,Guela DOUE (Côte d'Ivoire) commits a foul.,43854,Côte d'Ivoire,CIV,home,53.295349,5.95296,,,0,0,43961,Norway,NOR,0.009449953560000002,-0.009449953560000002,0.06590698000000006,"foul credited to opponent, boosted near goal",5.0
854818821,2026-06-30T17:07:30.385Z,8',8.0,3,12,Attempt at Goal,Yan DIOMANDE (Côte d'Ivoire) attempts an effort on goal.,43854,Côte d'Ivoire,CIV,home,92.87498,51.233667000000004,,,0,0,43854,Côte d'Ivoire,CIV,0.073587482,0.073587482,0.8574995999999999,shot weighted by location,8.0
955228166,2026-06-30T17:09:03.173Z,9',9.0,3,16,Corner,Nicolas PEPE (Côte d'Ivoire) takes a corner kick.,43854,Côte d'Ivoire,CIV,home,,,,,0,0,43854,Côte d'Ivoire,CIV,0.025,0.025,0.0,corner pressure,9.0
1081125899,2026-06-30T17:10:59.133Z,11',11.0,3,18,Foul,David MOLLER WOLFE (Norway) commits a foul.,43961,Norway,NOR,away,37.3941,9.96884,,,0,0,43854,Côte d'Ivoire,CIV,0.013546595999999998,0.013546595999999998,0.25211799999999995,"foul credited to opponent, boosted near goal",11.0
1344025607,2026-06-30T17:15:26.12Z,16',16.0,3,16,Corner,Yan DIOMANDE (Côte d'Ivoire) takes a corner kick.,43854,Côte d'Ivoire,CIV,home,99.84559,98.59796,,,0,0,43854,Côte d'Ivoire,CIV,0.025,0.025,0.9969118,corner pressure,16.0
1653280775,2026-06-30T17:20:30.665Z,21',21.0,3,12,Attempt at Goal,Ghislain KONAN (Côte d'Ivoire) attempts an effort on goal.,43854,Côte d'Ivoire,CIV,home,92.79311,69.55458,30.27192,2.102198,0,0,43854,Côte d'Ivoire,CIV,0.073513799,0.073513799,0.8558622,shot weighted by location,21.0
