event_id,timestamp,match_minute_label,match_minute,period,type_id,event_type,description,team_id,team,team_abbr,side,x,y,goal_x,goal_y,home_goals,away_goals,attacking_team_id,attacking_team,attacking_abbr,proxy_value,signed_proxy_value,location_danger,score_reason,elapsed_minute
2124764221,2026-06-30T20:57:43.717Z,0',0.0,2,79,Coin Toss,Sweden won the coin toss and chose to kick off,43970,Sweden,SWE,away,,,,,0,0,43970,Sweden,SWE,0.0,-0.0,0.0,annotation/no threat,0.0
108727357,2026-06-30T21:00:03.505Z,0',0.0,3,7,Start Time,The referee signals the start of the first period.,,,,,,,,,0,0,,,,0.0,0.0,0.0,annotation/no threat,0.0
138532930,2026-06-30T21:00:23.94Z,1',1.0,3,18,Foul,Lucas BERGVALL (Sweden) commits a foul.,43970,Sweden,SWE,away,,,,,0,0,43946,France,FRA,0.008,0.008,0.0,"foul credited to opponent, boosted near goal",1.0
201413695,2026-06-30T21:01:21.908Z,2',2.0,3,18,Foul,William SALIBA (France) commits a foul.,43946,France,FRA,home,,,,,0,0,43970,Sweden,SWE,0.008,-0.008,0.0,"foul credited to opponent, boosted near goal",2.0
251491392,2026-06-30T21:02:22.924Z,3',3.0,3,12,Attempt at Goal,Alexander ISAK (Sweden) attempts an effort on goal.,43970,Sweden,SWE,away,,,,,0,0,43970,Sweden,SWE,0.035,-0.035,0.0,shot weighted by location,3.0
281929791,2026-06-30T21:02:41.74Z,3',3.0,3,18,Foul,Alexander ISAK (Sweden) commits a foul.,43970,Sweden,SWE,away,,,,,0,0,43946,France,FRA,0.008,0.008,0.0,"foul credited to opponent, boosted near goal",3.0
337340482,2026-06-30T21:03:33.517Z,4',4.0,3,18,Foul,Yasin AYARI (Sweden) commits a foul.,43970,Sweden,SWE,away,,,,,0,0,43946,France,FRA,0.008,0.008,0.0,"foul credited to opponent, boosted near goal",4.0
491358273,2026-06-30T21:06:00.991Z,6',6.0,3,18,Foul,Adrien RABIOT (France) commits a foul.,43946,France,FRA,home,23.91815,23.10394,,,0,0,43970,Sweden,SWE,0.019476014,-0.019476014,0.5216369999999999,"foul credited to opponent, boosted near goal",6.0
546372675,2026-06-30T21:06:47.257Z,7',7.0,3,18,Foul,Yasin AYARI (Sweden) commits a foul.,43970,Sweden,SWE,away,50.07227356,11.24111,,,0,0,43946,France,FRA,0.0080318003664,0.0080318003664,0.001445471199999937,"foul credited to opponent, boosted near goal",7.0
967505985,2026-06-30T21:13:40.129Z,14',14.0,3,18,Foul,Lucas BERGVALL (Sweden) commits a foul.,43970,Sweden,SWE,away,31.41585,13.206109999999999,,,0,0,43946,France,FRA,0.016177025999999997,0.016177025999999997,0.371683,"foul credited to opponent, boosted near goal",14.0
1026391108,2026-06-30T21:14:56.085Z,15',15.0,3,16,Corner,Ousmane DEMBELE (France) takes a corner kick.,43946,France,FRA,home,0.03807,100.0,,,0,0,43946,France,FRA,0.025,0.025,0.9992386,corner pressure,15.0
1031703624,2026-06-30T21:15:01.711Z,15',15.0,3,12,Attempt at Goal,Lucas DIGNE (France) attempts an effort on goal.,43946,France,FRA,home,24.28011,26.79633,62.00462,8.130690999999999,0,0,43946,France,FRA,0.058147901,0.058147901,0.5143978,shot weighted by location,15.0
1938551177,2026-06-30T21:15:02.772Z,15',15.0,3,57,Goal Prevention,The goalkeeper of Sweden pulls off a save.,43970,Sweden,SWE,away,2.4582,50.756451199999994,,,0,0,43946,France,FRA,0.04,0.04,0.950836,save/goal prevention credited to opponent attack,15.0
1104659526,2026-06-30T21:16:14.163Z,17',17.0,3,12,Attempt at Goal,Kylian MBAPPE (France) attempts an effort on goal.,43946,France,FRA,home,24.441589999999998,33.43221,43.187373,4.642716999999999,0,0,43946,France,FRA,0.058002569000000004,0.058002569000000004,0.5111682,shot weighted by location,17.0
2012785907,2026-06-30T21:16:15.224Z,17',17.0,3,57,Goal Prevention,The goalkeeper of Sweden pulls off a save.,43970,Sweden,SWE,away,1.35258,47.131453,,,0,0,43946,France,FRA,0.04,0.04,0.9729484,save/goal prevention credited to opponent attack,17.0
1178016841,2026-06-30T21:17:12.161Z,18',18.0,3,18,Foul,William SALIBA (France) commits a foul.,43946,France,FRA,home,66.51389,87.80019999999999,,,0,0,43970,Sweden,SWE,0.0152661116,-0.0152661116,0.33027780000000007,"foul credited to opponent, boosted near goal",18.0
1270288450,2026-06-30T21:18:56.085Z,19',19.0,3,12,Attempt at Goal,Bradley BARCOLA (France) attempts an effort on goal.,43946,France,FRA,home,9.53281,33.65614,41.745508,71.11391,0,0,43946,France,FRA,0.071420471,0.071420471,0.8093438,shot weighted by location,19.0
1321649226,2026-06-30T21:19:33.505Z,20',20.0,3,15,Offside,Kylian MBAPPE (France) is ruled offside.,43946,France,FRA,home,,,,,0,0,43946,France,FRA,0.01,0.01,0.0,attacking offside,20.0
1410011210,2026-06-30T21:21:04.693Z,22',22.0,3,18,Foul,Michael OLISE (France) commits a foul.,43946,France,FRA,home,52.519309,28.059849999999997,,,0,0,43970,Sweden,SWE,0.009108495959999999,-0.009108495959999999,0.05038617999999995,"foul credited to opponent, boosted near goal",22.0
1488675919,2026-06-30T21:22:31.117Z,23',23.0,3,83,Delay,Match paused for a hydration break,,,,,,,,,0,0,,,,0.0,0.0,0.0,annotation/no threat,23.0
1684172875,2026-06-30T21:25:42.021Z,26',26.0,3,78,Resume,Match resumed after interruption,,,,,,,,,0,0,,,,0.0,0.0,0.0,annotation/no threat,26.0
1750546513,2026-06-30T21:26:28.997Z,27',27.0,3,18,Foul,Adrien RABIOT (France) commits a foul.,43946,France,FRA,home,61.370619999999995,34.865449999999996,,,0,0,43970,Sweden,SWE,0.013003072799999998,-0.013003072799999998,0.22741239999999996,"foul credited to opponent, boosted near goal",27.0
1771802691,2026-06-30T21:27:03.712Z,27',27.0,3,12,Attempt at Goal,Alexander ISAK (Sweden) attempts an effort on goal.,43970,Sweden,SWE,away,91.38880999999999,40.604999,67.69555,2.923865,0,0,43970,Sweden,SWE,0.07224992899999999,-0.07224992899999999,0.8277761999999999,shot weighted by location,27.0
1822669903,2026-06-30T21:27:54.663Z,28',28.0,3,12,Attempt at Goal,Ousmane DEMBELE (France) attempts an effort on goal.,43946,France,FRA,home,16.03744,76.79357999999999,50.9064041,33.03315,0,0,43946,France,FRA,0.06556630399999999,0.06556630399999999,0.6792511999999999,shot weighted by location,28.0
1845301329,2026-06-30T21:28:12.04Z,29',29.0,3,16,Corner,Ousmane DEMBELE (France) takes a corner kick.,43946,France,FRA,home,0.71822,99.45349,,,0,0,43946,France,FRA,0.025,0.025,0.9856356,corner pressure,29.0
1949207636,2026-06-30T21:29:58.687Z,30',30.0,3,12,Attempt at Goal,Adrien RABIOT (France) attempts an effort on goal.,43946,France,FRA,home,6.96586,29.89123,58.637513,2.102198,0,0,43946,France,FRA,0.073730726,0.073730726,0.8606828,shot weighted by location,30.0
708876913,2026-06-30T21:29:59.087Z,30',30.0,3,57,Goal Prevention,The goalkeeper of Sweden pulls off a save.,43970,Sweden,SWE,away,2.40901,44.618471,,,0,0,43946,France,FRA,0.04,0.04,0.9518198,save/goal prevention credited to opponent attack,30.0
1979127885,2026-06-30T21:30:25.494Z,31',31.0,3,16,Corner,Michael OLISE (France) takes a corner kick.,43946,France,FRA,home,0.79706,0.9235500000000001,,,0,0,43946,France,FRA,0.025,0.025,0.9840588,corner pressure,31.0
2010679367,2026-06-30T21:30:57.125Z,31',31.0,3,16,Corner,Ousmane DEMBELE (France) takes a corner kick.,43946,France,FRA,home,0.03807,100.0,,,0,0,43946,France,FRA,0.025,0.025,0.9992386,corner pressure,31.0
2021434450,2026-06-30T21:31:08.357Z,32',32.0,3,12,Attempt at Goal,Kylian MBAPPE (France) attempts an effort on goal.,43946,France,FRA,home,8.57792,38.84505,32.93318,10.09459,0,0,43946,France,FRA,0.072279872,0.072279872,0.8284416,shot weighted by location,32.0
2088790094,2026-06-30T21:32:15.123Z,33',33.0,3,12,Attempt at Goal,Adrien RABIOT (France) attempts an effort on goal.,43946,France,FRA,home,23.96819,33.47251,58.06559300000001,56.568529999999996,0,0,43946,France,FRA,0.058428629,0.058428629,0.5206362,shot weighted by location,33.0
63089748,2026-06-30T21:34:05.914Z,35',35.0,3,18,Foul,Aurelien TCHOUAMENI (France) commits a foul.,43946,France,FRA,home,22.14191,55.132194,,,0,0,43970,Sweden,SWE,0.020257559600000002,-0.020257559600000002,0.5571618,"foul credited to opponent, boosted near goal",35.0
116365386,2026-06-30T21:35:04.112Z,35',35.0,3,12,Attempt at Goal,Michael OLISE (France) attempts an effort on goal.,43946,France,FRA,home,14.1016,41.867641,,,0,0,43946,France,FRA,0.06730855999999999,0.06730855999999999,0.7179679999999999,shot weighted by location,35.0
118127691,2026-06-30T21:35:06.595Z,36',36.0,3,12,Attempt at Goal,Ousmane DEMBELE (France) attempts an effort on goal.,43946,France,FRA,home,9.79833,62.81607,29.585430000000002,48.03273,0,0,43946,France,FRA,0.07118150300000001,0.07118150300000001,0.8040334,shot weighted by location,36.0
305670231,2026-06-30T21:38:01.129Z,38',38.0,3,18,Foul,Lucas BERGVALL (Sweden) commits a foul.,43970,Sweden,SWE,away,24.235789999999998,9.82006,,,0,0,43946,France,FRA,0.019336252399999997,0.019336252399999997,0.5152842,"foul credited to opponent, boosted near goal",38.0
407455837,2026-06-30T21:38:38.526Z,39',39.0,3,12,Attempt at Goal,Dayot UPAMECANO (France) attempts an effort on goal.,43946,France,FRA,home,6.91901,53.486714,,,0,0,43946,France,FRA,0.07377289100000001,0.07377289100000001,0.8616197999999999,shot weighted by location,39.0
376239182,2026-06-30T21:38:56.413Z,39',39.0,3,18,Foul,Dayot UPAMECANO (France) commits a foul.,43946,France,FRA,home,,,,,0,0,43970,Sweden,SWE,0.008,-0.008,0.0,"foul credited to opponent, boosted near goal",39.0
395777103,2026-06-30T21:39:39.027Z,40',40.0,3,12,Attempt at Goal,Kylian MBAPPE (France) attempts an effort on goal.,43946,France,FRA,home,23.39562,34.25224,51.121335,13.27323,0,0,43946,France,FRA,0.058943942,0.058943942,0.5320876,shot weighted by location,40.0
1303697208,2026-06-30T21:39:39.848Z,40',40.0,3,57,Goal Prevention,The goalkeeper of Sweden pulls off a save.,43970,Sweden,SWE,away,1.486,49.5127178,,,0,0,43946,France,FRA,0.04,0.04,0.97028,save/goal prevention credited to opponent attack,40.0
428890194,2026-06-30T21:40:03.291Z,40',40.0,3,18,Foul,Adrien RABIOT (France) commits a foul.,43946,France,FRA,home,58.899274,7.61786,,,0,0,43970,Sweden,SWE,0.01191568056,-0.01191568056,0.17798547999999992,"foul credited to opponent, boosted near goal",40.0
518417491,2026-06-30T21:41:38.947Z,42',42.0,3,12,Attempt at Goal,Michael OLISE (France) attempts an effort on goal.,43946,France,FRA,home,19.54194,43.623187,28.170689999999997,19.777929999999998,0,0,43946,France,FRA,0.062412254,0.062412254,0.6091612,shot weighted by location,42.0
602868825,2026-06-30T21:42:59.007Z,43',43.0,3,16,Corner,Michael OLISE (France) takes a corner kick.,43946,France,FRA,home,0.03807,0.0,,,0,0,43946,France,FRA,0.025,0.025,0.9992386,corner pressure,43.0
640459870,2026-06-30T21:43:36.884Z,44',44.0,3,12,Attempt at Goal,Jules KOUNDE (France) attempts an effort on goal.,43946,France,FRA,home,12.07482,71.13019,,,0,0,43946,France,FRA,0.069132662,0.069132662,0.7585036,shot weighted by location,44.0
