event_id,timestamp,match_minute_label,match_minute,period,type_id,event_type,description,team_id,team,team_abbr,side,x,y,goal_x,goal_y,home_goals,away_goals,attacking_team_id,attacking_team,attacking_abbr,proxy_value,signed_proxy_value,location_danger,score_reason,elapsed_minute
208584848,2026-07-03T02:58:08.933Z,0',0.0,2,79,Coin Toss,Algeria won the coin toss and chose to kick off,43843,Algeria,ALG,away,,,,,0,0,43843,Algeria,ALG,0.0,-0.0,0.0,annotation/no threat,0.0
331138181,2026-07-03T03:00:08.875Z,0',0.0,3,7,Start Time,The referee signals the start of the first period.,,,,,,,,,0,0,,,,0.0,0.0,0.0,annotation/no threat,0.0
650370200,2026-07-03T03:05:18.939Z,6',6.0,3,12,Attempt at Goal,Houssem AOUAR (Algeria) attempts an effort on goal.,43843,Algeria,ALG,away,10.225760000000001,52.093283,,,0,0,43843,Algeria,ALG,0.070796816,-0.070796816,0.7954848,shot weighted by location,6.0
1990670605,2026-07-03T03:05:22.223Z,6',6.0,3,57,Goal Prevention,The goalkeeper of Switzerland pulls off a save.,43971,Switzerland,SUI,home,0.7160500000000001,31.36468,,,0,0,43843,Algeria,ALG,0.04,-0.04,0.985679,save/goal prevention credited to opponent attack,6.0
954774686,2026-07-03T03:10:08.308Z,10',10.0,3,1,Assist,Assisted by Johan MANZAMBI.,43971,Switzerland,SUI,home,99.83212999999999,63.915200000000006,,,0,0,43971,Switzerland,SUI,0.0,0.0,0.9966425999999998,annotation/no threat,10.0
948744362,2026-07-03T03:10:08.689Z,10',10.0,3,12,Attempt at Goal,Breel EMBOLO (Switzerland) attempts an effort on goal.,43971,Switzerland,SUI,home,96.52823000000001,51.129935,40.937270999999996,21.49773,0,0,43971,Switzerland,SUI,0.076875407,0.076875407,0.9305646000000002,shot weighted by location,10.0
948744364,2026-07-03T03:10:08.689Z,10',10.0,3,0,Goal!,Breel EMBOLO (Switzerland) scores!!,43971,Switzerland,SUI,home,96.52823000000001,51.129935,40.937270999999996,21.49773,1,0,43971,Switzerland,SUI,0.1,0.1,0.9305646000000002,goal,10.0
1077102738,2026-07-03T03:12:05.065Z,12',12.0,3,18,Foul,Ricardo RODRIGUEZ (Switzerland) commits a foul.,43971,Switzerland,SUI,home,41.199127000000004,94.93443,,,1,0,43843,Algeria,ALG,0.01187238412,-0.01187238412,0.17601745999999996,"foul credited to opponent, boosted near goal",12.0
1171187887,2026-07-03T03:13:47.648Z,14',14.0,3,12,Attempt at Goal,Houssem AOUAR (Algeria) attempts an effort on goal.,43843,Algeria,ALG,away,23.6182,36.07546,40.019158,2.403821,1,0,43843,Algeria,ALG,0.05874362,-0.05874362,0.527636,shot weighted by location,14.0
359818868,2026-07-03T03:13:48.969Z,14',14.0,3,57,Goal Prevention,The goalkeeper of Switzerland pulls off a save.,43971,Switzerland,SUI,home,2.15762,46.203405,,,1,0,43843,Algeria,ALG,0.04,-0.04,0.9568476,save/goal prevention credited to opponent attack,14.0
1253435554,2026-07-03T03:15:06.947Z,15',15.0,3,12,Attempt at Goal,Denis ZAKARIA (Switzerland) attempts an effort on goal.,43971,Switzerland,SUI,home,90.45233,48.092805,56.596864000000004,2.102198,1,0,43971,Switzerland,SUI,0.071407097,0.071407097,0.8090466000000001,shot weighted by location,15.0
440673952,2026-07-03T03:15:08.048Z,15',15.0,3,57,Goal Prevention,The goalkeeper of Algeria pulls off a save.,43843,Algeria,ALG,away,97.76007,47.772227,,,1,0,43971,Switzerland,SUI,0.04,0.04,0.9552014,save/goal prevention credited to opponent attack,15.0
1432197297,2026-07-03T03:18:01.401Z,18',18.0,3,12,Attempt at Goal,Ibrahim MAZA (Algeria) attempts an effort on goal.,43843,Algeria,ALG,away,20.00701,35.87513,,,1,0,43843,Algeria,ALG,0.061993691000000004,-0.061993691000000004,0.5998597999999999,shot weighted by location,18.0
