event_id,timestamp,match_minute_label,match_minute,period,type_id,event_type,description,team_id,team,team_abbr,side,x,y,goal_x,goal_y,home_goals,away_goals,attacking_team_id,attacking_team,attacking_abbr,proxy_value,signed_proxy_value,location_danger,score_reason
626927616,2026-07-05T19:58:33.099Z,0',0.0,2,79,Coin Toss,Norway won the coin toss and chose to kick off,43961,Norway,NOR,away,,,,,0,0,43961,Norway,NOR,0.0,-0.0,0.0,annotation/no threat
719852544,2026-07-05T20:00:05.952Z,0',0.0,3,7,Start Time,The referee signals the start of the first period.,,,,,,,,,0,0,,,,0.0,0.0,0.0,annotation/no threat
896011267,2026-07-05T20:02:39.952Z,3',3.0,3,15,Offside,Alexander SORLOTH (Norway) is ruled offside.,43961,Norway,NOR,away,,,,,0,0,43961,Norway,NOR,0.01,-0.01,0.0,attacking offside
1088758786,2026-07-05T20:06:22.228Z,7',7.0,3,16,Corner,Martin ODEGAARD (Norway) takes a corner kick.,43961,Norway,NOR,away,0.57289,98.57777,,,0,0,43961,Norway,NOR,0.025,-0.025,0.9885422,corner pressure
1460152324,2026-07-05T20:09:59.946Z,10',10.0,3,18,Foul,Kristoffer AJER (Norway) commits a foul.,43961,Norway,NOR,away,89.62679999999999,62.09692,,,0,0,43924,Brazil,BRA,0.025435791999999995,0.025435791999999995,0.7925359999999998,"foul credited to opponent, boosted near goal"
1452460036,2026-07-05T20:11:21.307Z,12',12.0,3,71,VAR,Penalty given,,,,,,,,,0,0,,,,0.0,0.0,0.0,annotation/no threat
1546194947,2026-07-05T20:13:28.754Z,14',14.0,3,12,Attempt at Goal,BRUNO GUIMARAES (Brazil) attempts an effort on goal.,43924,Brazil,BRA,home,89.82126000000001,49.91834423,61.30576,12.24706,0,0,43924,Brazil,BRA,0.07083913400000001,0.07083913400000001,0.7964252000000002,shot weighted by location
1546207237,2026-07-05T20:13:28.754Z,14',14.0,3,6,Penalty Awarded,,43924,Brazil,BRA,home,89.82126000000001,49.91834423,,,0,0,43924,Brazil,BRA,0.085,0.085,0.7964252000000002,penalty awarded
308334934,2026-07-05T20:13:29.135Z,14',14.0,3,57,Goal Prevention,The goalkeeper of Norway pulls off a save.,43961,Norway,NOR,away,98.70006000000001,46.935912,,,0,0,43924,Brazil,BRA,0.04,0.04,0.9740012000000001,save/goal prevention credited to opponent attack
1664905223,2026-07-05T20:15:17.803Z,16',16.0,3,18,Foul,Julian RYERSON (Norway) commits a foul.,43961,Norway,NOR,away,37.06904,90.83319,,,0,0,43924,Brazil,BRA,0.013689622399999999,0.013689622399999999,0.25861919999999994,"foul credited to opponent, boosted near goal"
1676557317,2026-07-05T20:15:38.604Z,16',16.0,3,12,Attempt at Goal,RAYAN (Brazil) attempts an effort on goal.,43924,Brazil,BRA,home,88.37854,26.88549,93.69007,55.79444,0,0,43924,Brazil,BRA,0.069540686,0.069540686,0.7675708,shot weighted by location
2098010118,2026-07-05T20:22:12.037Z,23',23.0,3,18,Foul,RAYAN (Brazil) commits a foul.,43924,Brazil,BRA,home,33.3799,1.51581,,,0,0,43961,Norway,NOR,0.015312843999999999,-0.015312843999999999,0.332402,"foul credited to opponent, boosted near goal"
175310855,2026-07-05T20:26:11.355Z,27',27.0,3,83,Delay,Match paused for a hydration break,,,,,,,,,0,0,,,,0.0,0.0,0.0,annotation/no threat
371891206,2026-07-05T20:29:16.952Z,30',30.0,3,78,Resume,Match resumed after interruption,,,,,,,,,0,0,,,,0.0,0.0,0.0,annotation/no threat
637388809,2026-07-05T20:30:06.211Z,30',30.0,3,12,Attempt at Goal,DANILO (Brazil) attempts an effort on goal.,43924,Brazil,BRA,home,90.80909,30.585289999999997,,,0,0,43924,Brazil,BRA,0.071728181,0.071728181,0.8161818,shot weighted by location
449521672,2026-07-05T20:30:12.698Z,31',31.0,3,18,Foul,DANILO (Brazil) commits a foul.,43924,Brazil,BRA,home,72.64329000000001,9.37261,,,0,0,43961,Norway,NOR,0.017963047600000004,-0.017963047600000004,0.4528658000000001,"foul credited to opponent, boosted near goal"
662540298,2026-07-05T20:34:05.61Z,34',34.0,3,12,Attempt at Goal,VINICIUS JUNIOR (Brazil) attempts an effort on goal.,43924,Brazil,BRA,home,91.48039,29.34192,,,0,0,43924,Brazil,BRA,0.072332351,0.072332351,0.8296078,shot weighted by location
717400073,2026-07-05T20:34:58.143Z,35',35.0,3,12,Attempt at Goal,Martin ODEGAARD (Norway) attempts an effort on goal.,43961,Norway,NOR,away,14.552399999999999,70.50381999999999,70.65306,2.8535850000000003,0,0,43961,Norway,NOR,0.06690284,-0.06690284,0.708952,shot weighted by location
811702283,2026-07-05T20:36:30.755Z,37',37.0,3,12,Attempt at Goal,Erling HAALAND (Norway) attempts an effort on goal.,43961,Norway,NOR,away,10.3554,40.335988,57.888081,9.032884,0,0,43961,Norway,NOR,0.07068014,-0.07068014,0.792892,shot weighted by location
1719753740,2026-07-05T20:36:31.676Z,37',37.0,3,57,Goal Prevention,The goalkeeper of Brazil pulls off a save.,43924,Brazil,BRA,home,2.78692,49.3957127,,,0,0,43961,Norway,NOR,0.04,-0.04,0.9442616,save/goal prevention credited to opponent attack
874349581,2026-07-05T20:37:17.122Z,38',38.0,3,18,Foul,GABRIEL MARTINELLI (Brazil) commits a foul.,43924,Brazil,BRA,home,74.24052,43.77939,,,0,0,43961,Norway,NOR,0.0186658288,-0.0186658288,0.4848104000000001,"foul credited to opponent, boosted near goal"
988164110,2026-07-05T20:39:22.527Z,40',40.0,3,12,Attempt at Goal,CASEMIRO (Brazil) attempts an effort on goal.,43924,Brazil,BRA,home,76.91941,33.129419999999996,,,0,0,43924,Brazil,BRA,0.059227469000000005,0.059227469000000005,0.5383882,shot weighted by location
1025520652,2026-07-05T20:39:58.823Z,40',40.0,3,12,Attempt at Goal,VINICIUS JUNIOR (Brazil) attempts an effort on goal.,43924,Brazil,BRA,home,92.60772,65.57007999999999,41.933846,2.102198,0,0,43924,Brazil,BRA,0.073346948,0.073346948,0.8521544,shot weighted by location
1932917929,2026-07-05T20:39:59.143Z,40',40.0,3,57,Goal Prevention,The goalkeeper of Norway pulls off a save.,43961,Norway,NOR,away,98.01232,56.418747999999994,,,0,0,43924,Brazil,BRA,0.04,0.04,0.9602464,save/goal prevention credited to opponent attack
1045373962,2026-07-05T20:40:19.244Z,41',41.0,3,16,Corner,VINICIUS JUNIOR (Brazil) takes a corner kick.,43924,Brazil,BRA,home,99.72655999999999,98.94013000000001,,,0,0,43924,Brazil,BRA,0.025,0.025,0.9945311999999998,corner pressure
1155978256,2026-07-05T20:42:06.811Z,42',42.0,3,12,Attempt at Goal,Martin ODEGAARD (Norway) attempts an effort on goal.,43961,Norway,NOR,away,5.26733,32.33722,35.798429999999996,2.102198,0,0,43961,Norway,NOR,0.075259403,-0.075259403,0.8946533999999999,shot weighted by location
1200702475,2026-07-05T20:42:48.473Z,43',43.0,3,16,Corner,Patrick BERG (Norway) takes a corner kick.,43961,Norway,NOR,away,0.51752,1.25924,,,0,0,43961,Norway,NOR,0.025,-0.025,0.9896496,corner pressure
553819156,2026-07-05T21:07:18.104Z,45',45.0,5,7,Start Time,The referee signals the start of the second period.,,,,,,,,,0,0,,,,0.0,0.0,0.0,annotation/no threat
1431159825,2026-07-05T20:46:32.677Z,45'+2',47.0,3,16,Corner,Martin ODEGAARD (Norway) takes a corner kick.,43961,Norway,NOR,away,0.46924000000000005,98.81984,,,0,0,43961,Norway,NOR,0.025,-0.025,0.9906152,corner pressure
689085461,2026-07-05T21:09:18.531Z,47',47.0,5,18,Foul,RAYAN (Brazil) commits a foul.,43924,Brazil,BRA,home,,,,,0,0,43961,Norway,NOR,0.008,-0.008,0.0,"foul credited to opponent, boosted near goal"
1506072588,2026-07-05T20:47:48.833Z,45'+3',48.0,3,12,Attempt at Goal,Martin ODEGAARD (Norway) attempts an effort on goal.,43961,Norway,NOR,away,12.27243,37.70362,52.039612000000005,2.102198,0,0,43961,Norway,NOR,0.068954813,-0.068954813,0.7545514,shot weighted by location
271647194,2026-07-05T20:47:49.093Z,45'+3',48.0,3,57,Goal Prevention,The goalkeeper of Brazil pulls off a save.,43924,Brazil,BRA,home,6.75292,43.400752,,,0,0,43961,Norway,NOR,0.04,-0.04,0.8649416,save/goal prevention credited to opponent attack
729813015,2026-07-05T21:09:56.659Z,48',48.0,5,18,Foul,CASEMIRO (Brazil) commits a foul.,43924,Brazil,BRA,home,41.115676,7.4187,,,0,0,43961,Norway,NOR,0.011909102559999999,-0.011909102559999999,0.17768647999999998,"foul credited to opponent, boosted near goal"
1577017358,2026-07-05T20:48:57.501Z,45'+4',49.0,3,12,Attempt at Goal,BRUNO GUIMARAES (Brazil) attempts an effort on goal.,43924,Brazil,BRA,home,77.9916,64.45743,80.64157,2.102198,0,0,43924,Brazil,BRA,0.06019244000000001,0.06019244000000001,0.5598320000000001,shot weighted by location
1895217171,2026-07-05T20:48:58.022Z,45'+4',49.0,3,12,Attempt at Goal,MATHEUS CUNHA (Brazil) attempts an effort on goal.,43924,Brazil,BRA,home,88.99253999999999,51.799859000000005,,,0,0,43924,Brazil,BRA,0.070093286,0.070093286,0.7798507999999998,shot weighted by location
783603731,2026-07-05T21:11:00.643Z,49',49.0,5,12,Attempt at Goal,Patrick BERG (Norway) attempts an effort on goal.,43961,Norway,NOR,away,79.55267,33.65925,,,0,0,43961,Norway,NOR,0.06159740300000001,-0.06159740300000001,0.5910534000000001,shot weighted by location
1691296784,2026-07-05T20:50:28.092Z,45'+6',51.0,3,18,Foul,Julian RYERSON (Norway) commits a foul.,43961,Norway,NOR,away,32.55154,62.79945,,,0,0,43924,Brazil,BRA,0.0156773224,0.0156773224,0.3489692,"foul credited to opponent, boosted near goal"
1713594383,2026-07-05T20:51:13.563Z,45'+7',52.0,3,8,End Time,The referee brings the first period to an end.,,,,,,,,,0,0,,,,0.0,0.0,0.0,annotation/no threat
1144184854,2026-07-05T21:16:49.992Z,55',55.0,5,16,Corner,MATHEUS CUNHA (Brazil) takes a corner kick.,43924,Brazil,BRA,home,0.0,0.0,,,0,0,43924,Brazil,BRA,0.025,0.025,1.0,corner pressure
1343098903,2026-07-05T21:20:05.395Z,58',58.0,5,5,Substitution,ENDRICK (in) comes off the bench to replace MATHEUS CUNHA (out) (Brazil),43924,Brazil,BRA,home,,,,,0,0,43924,Brazil,BRA,0.0,0.0,0.0,annotation/no threat
1391773716,2026-07-05T21:20:54.597Z,59',59.0,5,12,Attempt at Goal,ENDRICK (Brazil) attempts an effort on goal.,43924,Brazil,BRA,home,13.4178,52.230423,,,0,0,43924,Brazil,BRA,0.06792398,0.06792398,0.731644,shot weighted by location
1511353365,2026-07-05T21:22:51.213Z,61',61.0,5,12,Attempt at Goal,ENDRICK (Brazil) attempts an effort on goal.,43924,Brazil,BRA,home,19.229119999999998,28.78021,37.03899,18.79892,0,0,43924,Brazil,BRA,0.062693792,0.062693792,0.6154176,shot weighted by location
1559452696,2026-07-05T21:23:35.978Z,62',62.0,5,16,Corner,BRUNO GUIMARAES (Brazil) takes a corner kick.,43924,Brazil,BRA,home,0.41859,1.05064,,,0,0,43924,Brazil,BRA,0.025,0.025,0.9916282,corner pressure
1570679832,2026-07-05T21:23:49.111Z,62',62.0,5,12,Attempt at Goal,RAYAN (Brazil) attempts an effort on goal.,43924,Brazil,BRA,home,15.46378,61.410529999999994,48.722545000000004,2.209195,0,0,43924,Brazil,BRA,0.066082598,0.066082598,0.6907244,shot weighted by location
333672459,2026-07-05T21:23:49.752Z,62',62.0,5,57,Goal Prevention,The goalkeeper of Norway pulls off a save.,43961,Norway,NOR,away,1.8811000000000002,51.276295000000005,,,0,0,43924,Brazil,BRA,0.04,0.04,0.962378,save/goal prevention credited to opponent attack
1634755609,2026-07-05T21:24:37.104Z,63',63.0,5,15,Offside,RAYAN (Brazil) is ruled offside.,43924,Brazil,BRA,home,,,,,0,0,43924,Brazil,BRA,0.01,0.01,0.0,attacking offside
1658890262,2026-07-05T21:25:13.819Z,63',63.0,5,5,Substitution,Fredrik AURSNES (in) comes off the bench to replace Julian RYERSON (out) (Norway),43961,Norway,NOR,away,,,,,0,0,43961,Norway,NOR,0.0,-0.0,0.0,annotation/no threat
1837859867,2026-07-05T21:28:08.13Z,66',66.0,5,16,Corner,Martin ODEGAARD (Norway) takes a corner kick.,43961,Norway,NOR,away,100.0,0.0,,,0,0,43961,Norway,NOR,0.025,-0.025,1.0,corner pressure
1862357018,2026-07-05T21:28:35.963Z,67',67.0,5,12,Attempt at Goal,Erling HAALAND (Norway) attempts an effort on goal.,43961,Norway,NOR,away,,,,,0,0,43961,Norway,NOR,0.035,-0.035,0.0,shot weighted by location
1904364571,2026-07-05T21:29:03.308Z,67',67.0,5,5,Substitution,DANILO SANTOS (in) comes off the bench to replace RAYAN (out) (Brazil),43924,Brazil,BRA,home,,,,,0,0,43924,Brazil,BRA,0.0,0.0,0.0,annotation/no threat
1904364572,2026-07-05T21:29:03.308Z,67',67.0,5,5,Substitution,NEYMAR JR (in) comes off the bench to replace GABRIEL MARTINELLI (out) (Brazil),43924,Brazil,BRA,home,,,,,0,0,43924,Brazil,BRA,0.0,0.0,0.0,annotation/no threat
1932539927,2026-07-05T21:29:38.104Z,68',68.0,5,83,Delay,Match paused for a hydration break,,,,,,,,,0,0,,,,0.0,0.0,0.0,annotation/no threat
2118891544,2026-07-05T21:32:43.104Z,71',71.0,5,78,Resume,Match resumed after interruption,,,,,,,,,0,0,,,,0.0,0.0,0.0,annotation/no threat
145431578,2026-07-05T21:35:24.946Z,74',74.0,5,18,Foul,BRUNO GUIMARAES (Brazil) commits a foul.,43924,Brazil,BRA,home,30.4116,32.10739,,,0,0,43961,Norway,NOR,0.016618896,-0.016618896,0.391768,"foul credited to opponent, boosted near goal"
234209309,2026-07-05T21:37:00.722Z,75',75.0,5,12,Attempt at Goal,Andreas SCHJELDERUP (Norway) attempts an effort on goal.,43961,Norway,NOR,away,88.58744,65.42679,37.99145,14.45584,0,0,43961,Norway,NOR,0.069728696,-0.069728696,0.7717488,shot weighted by location
1145668993,2026-07-05T21:37:01.222Z,75',75.0,5,57,Goal Prevention,The goalkeeper of Brazil pulls off a save.,43924,Brazil,BRA,home,98.49986,55.381040000000006,,,0,0,43961,Norway,NOR,0.04,-0.04,0.9699972,save/goal prevention credited to opponent attack
460971038,2026-07-05T21:40:40.732Z,79',79.0,5,5,Substitution,EDERSON SILVA (in) comes off the bench to replace BRUNO GUIMARAES (out) (Brazil),43924,Brazil,BRA,home,,,,,0,0,43924,Brazil,BRA,0.0,0.0,0.0,annotation/no threat
504835105,2026-07-05T21:41:14.856Z,79',79.0,5,1,Assist,Assisted by Andreas SCHJELDERUP.,43961,Norway,NOR,away,90.93182,79.3997,,,0,0,43961,Norway,NOR,0.0,-0.0,0.8186364,annotation/no threat
496897055,2026-07-05T21:41:16.157Z,79',79.0,5,12,Attempt at Goal,Erling HAALAND (Norway) attempts an effort on goal.,43961,Norway,NOR,away,93.21198000000001,48.020806,60.03626,9.683503,0,0,43961,Norway,NOR,0.07389078200000002,-0.07389078200000002,0.8642396000000002,shot weighted by location
496897057,2026-07-05T21:41:16.157Z,79',79.0,5,0,Goal!,Erling HAALAND (Norway) scores!!,43961,Norway,NOR,away,93.21198000000001,48.020806,60.03626,9.683503,0,1,43961,Norway,NOR,0.1,-0.1,0.8642396000000002,goal
639078453,2026-07-05T21:43:21.602Z,82',82.0,5,18,Foul,Erling HAALAND (Norway) commits a foul.,43961,Norway,NOR,away,75.89379000000001,11.66039,,,0,1,43924,Brazil,BRA,0.019393267600000007,0.019393267600000007,0.5178758000000002,"foul credited to opponent, boosted near goal"
709226527,2026-07-05T21:44:41.802Z,83',83.0,5,16,Corner,NEYMAR JR (Brazil) takes a corner kick.,43924,Brazil,BRA,home,0.0,0.0,,,0,1,43924,Brazil,BRA,0.025,0.025,1.0,corner pressure
730541109,2026-07-05T21:45:03.644Z,83',83.0,5,16,Corner,NEYMAR JR (Brazil) takes a corner kick.,43924,Brazil,BRA,home,0.16187,0.78248,,,0,1,43924,Brazil,BRA,0.025,0.025,0.9967626,corner pressure
1817322566,2026-07-05T21:45:25.366Z,84',84.0,5,12,Attempt at Goal,NEYMAR JR (Brazil) attempts an effort on goal.,43924,Brazil,BRA,home,6.0429900000000005,30.337609999999998,,,0,1,43924,Brazil,BRA,0.07456130899999999,0.07456130899999999,0.8791401999999999,shot weighted by location
1773128445,2026-07-05T21:47:12.433Z,85',85.0,5,57,Goal Prevention,The goalkeeper of Norway pulls off a save.,43961,Norway,NOR,away,1.51525,52.191964999999996,,,0,1,43924,Brazil,BRA,0.04,0.04,0.969695,save/goal prevention credited to opponent attack
