event_id,timestamp,match_minute_label,match_minute,period,type_id,event_type,description,team_id,team,team_abbr,side,x,y,goal_x,goal_y,home_goals,away_goals,attacking_team_id,attacking_team,attacking_abbr,proxy_value,signed_proxy_value,location_danger,score_reason,elapsed_minute
661050370,2026-07-09T19:57:47.718Z,0',0.0,2,79,Coin Toss,Morocco won the coin toss and chose to kick off,43872,Morocco,MAR,away,,,,,0,0,43872,Morocco,MAR,0.0,-0.0,0.0,annotation/no threat,0.0
762181633,2026-07-09T20:00:46.995Z,0',0.0,3,7,Start Time,The referee signals the start of the first period.,,,,,,,,,0,0,,,,0.0,0.0,0.0,annotation/no threat,0.0
835457027,2026-07-09T20:01:49.415Z,2',2.0,3,18,Foul,Neil EL AYNAOUI (Morocco) commits a foul.,43872,Morocco,MAR,away,56.133113,96.56951000000001,,,0,0,43946,France,FRA,0.01069856972,0.01069856972,0.12266226000000002,"foul credited to opponent, boosted near goal",2.0
985562114,2026-07-09T20:04:20.366Z,4',4.0,3,12,Attempt at Goal,Kylian MBAPPE (France) attempts an effort on goal.,43946,France,FRA,home,20.49145,33.96459,31.31431,13.79069,0,0,43946,France,FRA,0.061557695,0.061557695,0.590171,shot weighted by location,4.0
1890065553,2026-07-09T20:04:21.187Z,4',4.0,3,57,Goal Prevention,The goalkeeper of Morocco pulls off a save.,43872,Morocco,MAR,away,0.77066,43.632191999999996,,,0,0,43946,France,FRA,0.04,0.04,0.9845868,save/goal prevention credited to opponent attack,4.0
1002832899,2026-07-09T20:04:35.06Z,4',4.0,3,16,Corner,Ousmane DEMBELE (France) takes a corner kick.,43946,France,FRA,home,0.0,0.0,,,0,0,43946,France,FRA,0.025,0.025,1.0,corner pressure,4.0
1006969858,2026-07-09T20:04:42.988Z,4',4.0,3,12,Attempt at Goal,Dayot UPAMECANO (France) attempts an effort on goal.,43946,France,FRA,home,3.53457,55.452211,51.951481,34.685179999999995,0,0,43946,France,FRA,0.076818887,0.076818887,0.9293086,shot weighted by location,4.0
1914127517,2026-07-09T20:04:43.429Z,4',4.0,3,57,Goal Prevention,The goalkeeper of Morocco pulls off a save.,43872,Morocco,MAR,away,0.51224,51.749436,,,0,0,43946,France,FRA,0.04,0.04,0.9897552,save/goal prevention credited to opponent attack,4.0
1276115974,2026-07-09T20:08:57.022Z,9',9.0,3,18,Foul,Desire DOUE (France) commits a foul.,43946,France,FRA,home,35.11985,21.24644,,,0,0,43872,Morocco,MAR,0.014547266000000001,-0.014547266000000001,0.29760300000000006,"foul credited to opponent, boosted near goal",9.0
1344720899,2026-07-09T20:10:09.074Z,10',10.0,3,12,Attempt at Goal,Desire DOUE (France) attempts an effort on goal.,43946,France,FRA,home,18.309900000000003,26.2944,,,0,0,43946,France,FRA,0.06352109,0.06352109,0.633802,shot weighted by location,10.0
1576945672,2026-07-09T20:13:54.96Z,14',14.0,3,18,Foul,Neil EL AYNAOUI (Morocco) commits a foul.,43872,Morocco,MAR,away,30.713849999999997,40.227019000000006,,,0,0,43946,France,FRA,0.016485906,0.016485906,0.38572300000000004,"foul credited to opponent, boosted near goal",14.0
1675069451,2026-07-09T20:15:16.641Z,15',15.0,3,18,Foul,Lucas DIGNE (France) commits a foul.,43946,France,FRA,home,66.5633,2.55864,,,0,0,43872,Morocco,MAR,0.015287851999999998,-0.015287851999999998,0.33126599999999995,"foul credited to opponent, boosted near goal",15.0
1857241100,2026-07-09T20:18:33.678Z,18',18.0,3,12,Attempt at Goal,Ousmane DEMBELE (France) attempts an effort on goal.,43946,France,FRA,home,6.8653900000000005,56.699164999999994,15.03364,25.26491,0,0,43946,France,FRA,0.073821149,0.073821149,0.8626922,shot weighted by location,18.0
1919311881,2026-07-09T20:19:28.647Z,19',19.0,3,18,Foul,Neil EL AYNAOUI (Morocco) commits a foul.,43872,Morocco,MAR,away,,,,,0,0,43946,France,FRA,0.008,0.008,0.0,"foul credited to opponent, boosted near goal",19.0
1942002701,2026-07-09T20:19:56.801Z,20',20.0,3,12,Attempt at Goal,Ousmane DEMBELE (France) attempts an effort on goal.,43946,France,FRA,home,17.04437,71.96925,,,0,0,43946,France,FRA,0.064660067,0.064660067,0.6591126,shot weighted by location,20.0
2006258693,2026-07-09T20:21:00.545Z,21',21.0,3,16,Corner,Michael OLISE (France) takes a corner kick.,43946,France,FRA,home,0.17698,98.61698,,,0,0,43946,France,FRA,0.025,0.025,0.9964604,corner pressure,21.0
2011004938,2026-07-09T20:21:04.869Z,21',21.0,3,12,Attempt at Goal,Adrien RABIOT (France) attempts an effort on goal.,43946,France,FRA,home,7.9673,41.417936,,,0,0,43946,France,FRA,0.07282943,0.07282943,0.840654,shot weighted by location,21.0
55117835,2026-07-09T20:24:10.735Z,24',24.0,3,16,Corner,Achraf HAKIMI (Morocco) takes a corner kick.,43872,Morocco,MAR,away,99.36025000000001,1.41683,,,0,0,43872,Morocco,MAR,0.025,-0.025,0.9872050000000001,corner pressure,24.0
135208973,2026-07-09T20:25:17.742Z,25',25.0,3,18,Foul,Noussair MAZRAOUI (Morocco) commits a foul.,43872,Morocco,MAR,away,9.00365,29.61107,,,0,0,43946,France,FRA,0.026038394,0.026038394,0.819927,"foul credited to opponent, boosted near goal",25.0
321960968,2026-07-09T20:28:31.355Z,28',28.0,3,12,Attempt at Goal,Kylian MBAPPE (France) attempts an effort on goal.,43946,France,FRA,home,10.31061,49.961549649999995,60.0508,2.102198,0,0,43946,France,FRA,0.070720451,0.070720451,0.7937878,shot weighted by location,28.0
321977358,2026-07-09T20:28:31.355Z,28',28.0,3,6,Penalty Awarded,,43946,France,FRA,home,10.31061,49.961549649999995,,,0,0,43946,France,FRA,0.085,0.085,0.7937878,penalty awarded,28.0
371328010,2026-07-09T20:29:18.995Z,29',29.0,3,83,Delay,Match paused for a hydration break,,,,,,,,,0,0,,,,0.0,0.0,0.0,annotation/no threat,29.0
574810121,2026-07-09T20:32:41.383Z,32',32.0,3,78,Resume,Match resumed after interruption,,,,,,,,,0,0,,,,0.0,0.0,0.0,annotation/no threat,32.0
